season_year,player_name,team_name,nationality,apps,clean_sheets,goals_conceded,minutes_per_goal_conceded
2002,Dudu Aouate,Maccabi Haifa,Israel / Francia,6,2,12,45
2002,Hans Jörg Butt,Bayer 04 Leverkusen,Alemania,10,2,18,50
2002,Jens Lehmann,Borussia Dortmund,Alemania,12,2,12,90
2003,José Francisco Molina,RC Deportivo de La Coruña,España,12,7,14,74
2003,Carlo Cudicini,Chelsea FC,Italia,9,6,5,162
2003,Dida,AC Milan,Brasil,9,5,7,116
2003,Vítor Baía,FC Oporto,Portugal,13,5,12,98
2003,Tim Howard,Manchester United,Estados Unidos / Hungría,7,4,5,126
2003,Jens Lehmann,Arsenal FC,Alemania,10,4,11,82
2003,Timo Hildebrand,VfB Stuttgart,Alemania,8,3,7,103
2003,Jaromir Blazek,AC Sparta Praga,República Checa,8,3,9,80
2003,Iker Casillas,Real Madrid CF,España,9,3,10,81
2003,Grégory Coupet,Olympique de Lyon,Francia,9,3,10,74
2003,Daniel Zitka,RSC Anderlecht,República Checa,6,2,6,90
2003,Magnus Hedman,Celtic FC,Suecia,6,2,7,77
2003,Bogdan Lobonț,Ajax de Ámsterdam,Rumania,6,2,7,77
2003,Ronald Waterreus,PSV Eindhoven,Países Bajos,6,2,7,77
2003,Óscar Córdoba,Besiktas JK,Colombia,6,2,7,77
2003,Sander Westerveld,Real Sociedad,Países Bajos,6,2,8,68
2003,Faryd Mondragón,Galatasaray,Colombia / Líbano,6,2,8,68
2003,Oliver Kahn,Bayern Múnich,Alemania,8,2,7,103
2003,Sergey Ovchinnikov,Lokomotiv Moscú,Rusia,8,2,9,80
2003,Flavio Roma,AS Mónaco,Italia,12,2,19,57
2003,Rémy Vercoutre,Olympique de Lyon,Francia,1,1,0,0
2003,Roy Carroll,Manchester United,Irlanda del Norte,1,1,0,0
2003,Tony Sylva,AS Mónaco,Senegal / Francia,1,1,0,0
2003,Antonio Chimenti,Juventus de Turín,Italia,2,1,2,90
2003,Dany Verlinden,Club Brujas KV,Bélgica,4,1,3,120
2004,Dida,AC Milan,Brasil,13,9,12,96
2004,Gianluigi Buffon,Juventus de Turín,Italia,9,7,3,270
2004,Antonis Nikopolidis,Olympiacos El Pireo,Grecia,6,4,5,108
2004,Jerzy Dudek,Liverpool FC,Polonia,8,4,8,90
2004,Petr Cech,Chelsea FC,República Checa,11,4,13,76
2004,Lionel Létizi,París Saint-Germain FC,Francia / Italia,6,3,8,68
2004,Rüştü Reçber,Fenerbahce,Turquía,6,3,13,38
2004,Flavio Roma,AS Mónaco,Italia,8,3,7,103
2004,Iker Casillas,Real Madrid CF,España,8,3,10,72
2004,Heurelho Gomes,PSV Eindhoven,Brasil,10,3,12,75
2004,Nicolas Puydebois,Olympique de Lyon,Francia,3,2,2,99
2004,Chris Kirkland,Liverpool FC,Inglaterra,4,2,2,180
2004,José Francisco Molina,RC Deportivo de La Coruña,España,5,2,4,113
2004,Igor Akinfeev,CSKA Moscú,Rusia,6,2,5,108
2004,Oleksandr Shovkovskyi,FC Dinamo de Kiev,Ucrania,6,2,8,68
2004,Vítor Baía,FC Oporto,Portugal,6,2,9,60
2004,Jan Lastuvka,Shakhtar Donetsk,República Checa,6,2,9,60
2004,Santiago Cañizares,Valencia CF,España,6,2,10,54
2004,Jens Lehmann,Arsenal FC,Alemania,7,2,8,79
2004,Hans Jörg Butt,Bayer 04 Leverkusen,Alemania,8,2,13,55
2004,Oliver Kahn,Bayern Múnich,Alemania,10,2,13,69
2004,Volkan Demirel,Fenerbahce,Turquía,1,1,0,0
2004,Christian Abbiati,AC Milan,Italia,1,1,0,0
2004,Carlo Cudicini,Chelsea FC,Italia,1,1,0,0
2004,Fabián Carini,Inter de Milán,Uruguay / Italia,1,1,0,0
2005,Jens Lehmann,Arsenal FC,Alemania,8,8,0,0
2005,Víctor Valdés,FC Barcelona,España,12,7,5,216
2005,Pepe Reina,Liverpool FC,España,8,5,4,180
2005,Grégory Coupet,Olympique de Lyon,Francia,9,5,6,135
2005,Tony Sylva,LOSC Lille,Senegal / Francia,6,4,2,270
2005,Petr Cech,Chelsea FC,República Checa,7,4,4,158
2005,Sebastián Viera,Villarreal CF,Uruguay / Italia,8,4,6,120
2005,Heurelho Gomes,PSV Eindhoven,Brasil,8,4,11,65
2005,Dida,AC Milan,Brasil,12,4,10,106
2005,Mariano Barbosa,Villarreal CF,Argentina / Italia,4,3,1,360
2005,Moretto,SL Benfica,Brasil / Italia,4,3,2,180
2005,Júlio César,Inter de Milán,Brasil,5,3,3,150
2005,Manuel Almunia,Arsenal FC,España,6,3,4,130
2005,Edwin van der Sar,Manchester United,Países Bajos,6,3,4,135
2005,Oliver Kahn,Bayern Múnich,Alemania,7,3,8,79
2005,Quim,SL Benfica,Portugal,3,2,1,209
2005,Toni Doblas,Real Betis Balompié,España,5,2,7,64
2005,Christian Abbiati,Juventus de Turín,Italia,6,2,5,108
2005,Maarten Stekelenburg,Ajax de Ámsterdam,Países Bajos,6,2,6,90
2005,Frank Rost,FC Schalke 04,Alemania,6,2,9,60
2005,Eldin Jakupović,FC Thun,Suiza / Bosnia y Herzegovina,6,2,9,60
2005,Vítor Baía,FC Oporto,Portugal,6,2,9,60
2005,Juraj Cobej,FC Petrzalka,Eslovaquia,6,2,9,60
2005,Iker Casillas,Real Madrid CF,España,7,2,7,90
2005,Zeljko Kalac,AC Milan,Australia / Croacia,1,1,0,0
2006,Pepe Reina,Liverpool FC,España,12,7,7,154
2006,Dida,AC Milan,Brasil,11,6,8,122
2006,Doni,AS Roma,Brasil / Italia,10,5,12,75
2006,Igor Akinfeev,CSKA Moscú,Rusia,6,4,5,108
2006,Grégory Coupet,Olympique de Lyon,Francia,7,4,5,126
2006,Víctor Valdés,FC Barcelona,España,8,4,6,120
2006,Artur Boruc,Celtic FC,Polonia,8,4,10,72
2006,Oliver Kahn,Bayern Múnich,Alemania,9,4,9,90
2006,Heurelho Gomes,PSV Eindhoven,Brasil,10,4,11,82
2006,Edwin van der Sar,Manchester United,Países Bajos,12,4,13,83
2006,Tim Wiese,SV Werder Bremen,Alemania,5,3,3,150
2006,Júlio César,Inter de Milán,Brasil,6,3,5,108
2006,Jens Lehmann,Arsenal FC,Alemania,8,3,5,144
2006,Helton,FC Oporto,Brasil / Portugal,8,3,7,103
2006,Santiago Cañizares,Valencia CF,España,9,3,10,81
2006,Zeljko Kalac,AC Milan,Australia / Croacia,3,2,2,96
2006,Hilário,Chelsea FC,Portugal,3,2,2,135
2006,Ricardo,Sporting de Lisboa,Portugal,6,2,6,90
2006,Jesper Christiansen,FC Copenhague,Dinamarca,6,2,8,68
2006,Quim,SL Benfica,Portugal,6,2,8,68
2006,Stefano Sorrentino,AEK Atenas FC,Italia,6,2,9,60
2006,Petr Cech,Chelsea FC,República Checa,8,2,10,72
2006,Rémy Vercoutre,Olympique de Lyon,Francia,1,1,0,0
2006,Grégory Malicki,LOSC Lille,Francia,1,1,0,0
2006,Bozhidar Mitrev,Levski Sofia,Bulgaria,2,1,2,68
2007,Víctor Valdés,FC Barcelona,España,11,8,5,198
2007,Edwin van der Sar,Manchester United,Países Bajos,10,7,8,106
2007,Manuel Almunia,Arsenal FC,España,8,5,8,90
2007,Carlo Cudicini,Chelsea FC,Italia,5,4,2,170
2007,Petr Cech,Chelsea FC,República Checa,9,4,11,70
2007,Manuel Neuer,FC Schalke 04,Alemania,10,4,8,113
2007,Pepe Reina,Liverpool FC,España,12,4,12,90
2007,Santiago Cañizares,Valencia CF,España,4,3,2,180
2007,Tomasz Kuszczak,Manchester United,Polonia / Inglaterra,5,3,2,163
2007,Zeljko Kalac,AC Milan,Australia / Croacia,5,3,3,120
2007,Helton,FC Oporto,Brasil / Portugal,7,3,7,90
2007,Júlio César,Inter de Milán,Brasil,8,3,7,103
2007,Antonis Nikopolidis,Olympiacos El Pireo,Grecia,8,3,10,72
2007,Volkan Demirel,Fenerbahce,Turquía,10,3,16,56
2007,Heurelho Gomes,PSV Eindhoven,Brasil,6,2,6,90
2007,Allan McGregor,Rangers FC,Escocia,6,2,9,60
2007,Steve Mandanda,Olympique de Marsella,Francia / RD del Congo,6,2,9,60
2007,Lars Hirschfeld,Rosenborg BK,Canadá / Alemania,6,2,10,54
2007,Rémy Vercoutre,Olympique de Lyon,Francia,6,2,10,54
2007,Andriy Pyatov,Shakhtar Donetsk,Ucrania,6,2,11,49
2007,Hilário,Chelsea FC,Portugal,1,1,0,0
2007,Morgan De Sanctis,Sevilla FC,Italia,1,1,0,0
2007,Michal Vorel,SK Slavia Praga,República Checa,1,1,0,0
2007,Jens Lehmann,Arsenal FC,Alemania,2,1,1,180
2007,Rui Patrício,Sporting de Lisboa,Portugal,2,1,2,90
2008,Edwin van der Sar,Manchester United,Países Bajos,10,7,5,180
2008,Petr Cech,Chelsea FC,República Checa,12,5,13,83
2008,Michael Rensing,Bayern Múnich,Alemania / Serbia,7,4,4,158
